Date,CDX HY 5Y_HYG_IEI,CDX EM 5Y_EMB_IEF,CDX IG 5Y_VCIT_IEF
2021-04-19,"[0.88, -0.53]","[0.47, -0.53]","[0.34, -0.32]"
2021-04-20,"[0.87, -0.53]","[0.47, -0.53]","[0.34, -0.32]"
2021-04-21,"[0.88, -0.53]","[0.47, -0.53]","[0.34, -0.32]"
2021-04-22,"[0.87, -0.53]","[0.47, -0.53]","[0.34, -0.32]"
2021-04-23,"[0.88, -0.53]","[0.47, -0.53]","[0.34, -0.32]"
2021-04-26,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-04-27,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-04-28,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-04-29,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-04-30,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-05-04,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-05-05,"[0.88, -0.53]","[0.47, -0.53]","[0.33, -0.32]"
2021-05-06,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-07,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-10,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-11,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-12,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-13,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-14,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-17,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-18,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-19,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-20,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-21,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-24,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-25,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-26,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-27,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-28,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-05-31,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.32]"
2021-06-01,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.31]"
2021-06-02,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.31]"
2021-06-03,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.31]"
2021-06-04,"[0.88, -0.53]","[0.48, -0.53]","[0.33, -0.31]"
2021-06-07,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-08,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-09,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-10,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-11,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-14,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-15,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-16,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-17,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-18,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-21,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-22,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-23,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-24,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-25,"[0.88, -0.53]","[0.49, -0.53]","[0.33, -0.31]"
2021-06-28,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-06-29,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-06-30,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-01,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-02,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-06,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-07,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-08,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-09,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-12,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-13,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-14,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-15,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-16,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.31]"
2021-07-19,"[0.87, -0.54]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-20,"[0.87, -0.54]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-21,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-22,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-23,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-26,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-27,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-28,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-29,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-30,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-07-31,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-02,"[0.87, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-03,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-04,"[0.87, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-05,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-06,"[0.88, -0.53]","[0.49, -0.53]","[0.32, -0.3]"
2021-08-09,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
2021-08-10,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
2021-08-11,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
2021-08-12,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
2021-08-13,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
2021-08-16,"[0.88, -0.53]","[0.5, -0.53]","[0.32, -0.3]"
